city,date,death_new,death_accum
MIA,2022-04-02,0,3
MIA,2022-04-03,0,3
MIA,2022-04-04,0,3
MIA,2022-04-05,0,3
MIA,2022-04-06,0,3
MIA,2022-04-07,0,3
MIA,2022-04-08,0,3
MIA,2022-04-09,0,3
MIA,2022-04-10,0,3
MIA,2022-04-11,0,3
MIA,2022-04-12,0,3
MIA,2022-04-13,0,3
MIA,2022-04-14,0,3
MIA,2022-04-15,0,3
MIA,2022-04-16,0,3
MIA,2022-04-17,0,3
MIA,2022-04-18,0,3
MIA,2022-04-19,0,3
MIA,2022-04-20,0,3
MIA,2022-04-21,0,3
MIA,2022-04-22,0,3
MIA,2022-04-23,0,3
MIA,2022-04-24,0,3
MIA,2022-04-25,0,3
MIA,2022-04-26,0,3
MIA,2022-04-27,0,3
MIA,2022-04-28,0,3
MIA,2022-04-29,0,3
MIA,2022-04-30,0,3
MIA,2022-05-01,0,3
MIA,2022-05-02,0,3
MIA,2022-05-03,0,3
MIA,2022-05-04,0,3
MIA,2022-05-05,0,3
MIA,2022-05-06,0,3
MIA,2022-05-07,0,3
MIA,2022-05-08,0,3
MIA,2022-05-09,0,3
MIA,2022-05-10,0,3
MIA,2022-05-11,0,3
MIA,2022-05-12,0,3
MIA,2022-05-13,0,3
MIA,2022-05-14,0,3
MIA,2022-05-15,0,3
MIA,2022-05-16,0,3
MIA,2022-05-17,0,3
MIA,2022-05-18,0,3
MIA,2022-05-19,0,3
MIA,2022-05-20,1,4
MIA,2022-05-21,0,4
MIA,2022-05-22,1,5
MIA,2022-05-23,1,6
MIA,2022-05-24,0,6
MIA,2022-05-25,0,6
MIA,2022-05-26,0,6
MIA,2022-05-27,0,6
MIA,2022-05-28,1,7
MIA,2022-05-29,2,9
MIA,2022-05-30,0,9
MIA,2022-05-31,0,9
MIA,2022-06-01,3,12
MIA,2022-06-02,0,12
MIA,2022-06-03,1,13
MIA,2022-06-04,8,21
TXG,2022-03-10,0,5
TXG,2022-03-11,0,5
TXG,2022-03-12,0,5
TXG,2022-03-13,0,5
TXG,2022-03-14,0,5
TXG,2022-03-15,0,5
TXG,2022-03-16,0,5
TXG,2022-03-17,0,5
TXG,2022-03-18,0,5
TXG,2022-03-19,0,5
TXG,2022-03-20,0,5
TXG,2022-03-21,0,5
TXG,2022-03-22,0,5
TXG,2022-03-23,0,5
TXG,2022-03-24,0,5
TXG,2022-03-25,0,5
TXG,2022-03-26,0,5
TXG,2022-03-27,0,5
TXG,2022-03-28,0,5
TXG,2022-03-29,0,5
TXG,2022-03-30,0,5
TXG,2022-03-31,0,5
TXG,2022-04-01,0,5
TXG,2022-04-02,0,5
TXG,2022-04-03,0,5
TXG,2022-04-04,0,5
TXG,2022-04-05,0,5
TXG,2022-04-06,0,5
TXG,2022-04-07,0,5
TXG,2022-04-08,0,5
TXG,2022-04-09,0,5
TXG,2022-04-10,0,5
TXG,2022-04-11,0,5
TXG,2022-04-12,0,5
TXG,2022-04-13,0,5
TXG,2022-04-14,0,5
TXG,2022-04-15,0,5
TXG,2022-04-16,0,5
TXG,2022-04-17,0,5
TXG,2022-04-18,0,5
TXG,2022-04-19,0,5
TXG,2022-04-20,0,5
TXG,2022-04-21,0,5
TXG,2022-04-22,0,5
TXG,2022-04-23,0,5
TXG,2022-04-24,0,5
TXG,2022-04-25,0,5
TXG,2022-04-26,0,5
TXG,2022-04-27,0,5
TXG,2022-04-28,0,5
TXG,2022-04-29,0,5
TXG,2022-04-30,0,5
TXG,2022-05-01,0,5
TXG,2022-05-02,0,5
TXG,2022-05-03,0,5
TXG,2022-05-04,0,5
TXG,2022-05-05,0,5
TXG,2022-05-06,0,5
TXG,2022-05-07,1,6
TXG,2022-05-08,0,6
TXG,2022-05-09,0,6
TXG,2022-05-10,1,7
TXG,2022-05-11,0,7
TXG,2022-05-12,0,7
TXG,2022-05-13,4,11
TXG,2022-05-14,3,14
TXG,2022-05-15,0,14
TXG,2022-05-16,0,14
TXG,2022-05-17,3,17
TXG,2022-05-18,2,19
TXG,2022-05-19,2,21
TXG,2022-05-20,2,23
TXG,2022-05-21,6,29
TXG,2022-05-22,4,33
TXG,2022-05-23,5,38
TXG,2022-05-24,2,40
TXG,2022-05-25,7,47
TXG,2022-05-26,5,52
TXG,2022-05-27,7,59
TXG,2022-05-28,7,66
TXG,2022-05-29,11,77
TXG,2022-05-30,19,96
TXG,2022-05-31,9,105
TXG,2022-06-01,5,110
TXG,2022-06-02,21,131
TXG,2022-06-03,15,146
TXG,2022-06-04,14,160
CHA,2022-03-10,0,15
CHA,2022-03-11,0,15
CHA,2022-03-12,0,15
CHA,2022-03-13,0,15
CHA,2022-03-14,0,15
CHA,2022-03-15,0,15
CHA,2022-03-16,0,15
CHA,2022-03-17,0,15
CHA,2022-03-18,0,15
CHA,2022-03-19,0,15
CHA,2022-03-20,0,15
CHA,2022-03-21,0,15
CHA,2022-03-22,0,15
CHA,2022-03-23,0,15
CHA,2022-03-24,0,15
